Name of Model,Num of communication parameters,Send on close,Close on close,Negative counter,unlock unlocked,Model deadlock
gravitational--teleport:auth++TestUpsertDeleteRoleEventsEmitted31.pml,4,0,0,0,0,0
vitessio--vitess:http++GetWorkflow29.pml,0,0,0,0,0,0
hashicorp--packer:yandexexport++verfiyAccess71.pml,1,0,0,0,0,0
cli--cli:git++AddRemote111.pml,0,0,0,0,0,0
hashicorp--terraform:command++TestUntaint_defaultState235.pml,0,0,0,0,0,0
kubernetes--minikube:logs++Follow96.pml,1,0,0,0,0,0
gohugoio--hugo:hugolib++TestResourceChains524.pml,1,0,0,0,0,0
google--grumpy:grumpy++TestFunctionGet42.pml,0,0,0,0,0,0
hyperledger--fabric:scc++TestCloseSend49.pml,0,0,0,0,0,1
grafana--k6:influxdb++TestBadConcurrentWrites39.pml,0,0,0,0,0,0
golang--go:syslog++NewLogger313.pml,0,0,0,0,0,0
hyperledger--fabric:kafka++New29.pml,0,0,0,0,0,0
pingcap--tidb:core++ToPB115.pml,2,0,0,0,0,1
go-kratos--kratos:errors++IsDataLoss293.pml,0,0,0,0,0,0
mattermost--mattermost-server:searchtest++testSearchExactPhraseInQuotes343.pml,0,0,0,0,0,0
vitessio--vitess:vtgate++TestExecutorOtherRead1894.pml,2,0,0,0,0,0
hyperledger--fabric:tlsgen++createTLSService22.pml,0,0,0,0,0,0
golang--go:sync_test++TestRace132.pml,0,0,0,0,0,0
gin-gonic--gin:gin++TestContextRenderNoContentData984.pml,0,0,0,0,0,0
labstack--echo:echo++TestEchoWrapMiddleware339.pml,0,0,0,0,0,0
jesseduffield--lazydocker:commands++TestOSCommandQuoteSingleQuote168.pml,0,0,0,0,0,0
mattermost--mattermost-server:storetest++testPostStoreDelete591.pml,0,0,0,0,0,0
hyperledger--fabric:lscc++TestCheckChaincodeVersion1429.pml,0,0,0,0,0,0
containers--podman:libpod++TestBuildContainerGraphTwoCtrOneEdge67.pml,0,0,0,0,0,0
vitessio--vitess:command++commandGetSrvKeyspaceNames99.pml,0,0,0,0,0,0
hashicorp--vault:vault++TestAESGCMBarrier_ReloadKeyring548.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceMapBigKeyInsert277.pml,0,0,0,0,0,0
kubernetes--kubernetes:drivers++GetVolumeSource875.pml,0,0,0,0,0,0
kubernetes--minikube:cruntime++ImageExists234.pml,0,0,0,0,0,0
hyperledger--fabric:privdata++TestReconciliationHappyPathWithScheduler209.pml,1,0,0,0,0,1
influxdata--telegraf:ping++TestBadPingGather334.pml,0,0,0,0,0,0
influxdata--telegraf:syslog++Connect114.pml,0,0,0,0,0,0
cli--cli:api++Test_parseFields791.pml,0,0,0,0,0,0
elastic--beats:v9++TestTemplateExpiration204.pml,2,0,0,0,0,0
grpc-ecosystem--grpc-gateway:integration_test++testABECreateBody458.pml,0,0,0,0,0,0
jmoiron--sqlx:sqlx++prepareNamedContext17.pml,0,0,0,0,0,0
gravitational--teleport:webauthncli_test++TestLogin_errors165.pml,1,0,0,0,0,0
hyperledger--fabric:cache++TestSecondChanceCacheConcurrent52.pml,1,0,0,0,0,0
hashicorp--consul:exp++Run36.pml,1,0,0,0,0,0
golang--go:flate++TestMaxStackSize956.pml,2,0,0,0,0,0
photoprism--photoprism:api++TestDeleteAccount170.pml,0,0,0,0,0,0
gin-gonic--gin:gin++captureOutput122.pml,0,0,0,0,0,0
kubernetes--kubernetes:replicaset++TestRSSelectorImmutability469.pml,0,0,0,0,0,0
hashicorp--packer:chroot++CreateVMMetadataTemplateFunc11.pml,0,0,0,0,0,0
influxdata--telegraf:http_listener_v2++TestWriteHTTPQueryParams570.pml,0,0,0,0,0,0
mattermost--mattermost-server:config_test++TestDatabaseGetFile886.pml,0,0,0,0,0,0
grafana--loki:comparator++TestEntryNeverReceived141.pml,5,0,0,0,0,0
nsqio--nsq:nsqadmin++TestNeitherNSQDAndNSQLookup17.pml,0,0,0,0,0,0
influxdata--telegraf:couchbase++TestGatherServer14.pml,0,0,0,0,0,0
moby--moby:git++TestCloneArgsDumbHttp141.pml,0,0,0,0,0,0
go-redis--redis:redis_test++ExampleScanCmd_Iterator577.pml,1,0,0,0,0,0
cli--cli:clone++runCloneCommand97.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceWaitGroup2193.pml,0,0,0,0,0,0
tal-tech--go-zero:logx++captureOutput31.pml,0,0,0,0,0,0
grpc-ecosystem--grpc-gateway:runtime++Duration219.pml,0,0,0,0,0,0
hashicorp--vault:cacheboltdb++TestBoltSetAutoAuthToken133.pml,0,0,0,0,0,0
google--grumpy:grumpy++TestHash412.pml,1,0,0,0,0,0
istio--istio:retry_test++TestRetryOnContainingStatusCodes118.pml,0,0,0,0,0,0
google--grumpy:grumpy++TestFileNext130.pml,1,0,0,0,0,0
golang--go:race_test++TestRaceMapLenDelete119.pml,0,0,0,0,0,0
go-kit--kit:influx++ExampleGauge39.pml,1,0,0,0,0,0
hashicorp--consul:restore++TestSnapshotRestoreCommand_Validation27.pml,1,0,0,0,0,0
vitessio--vitess:command++commandDeleteCellsAlias172.pml,0,0,0,0,0,0
golang--go:race_test++TestRacePointerSliceCopyRead148.pml,0,0,0,0,0,0
hashicorp--consul:fsm++TestFSM_ACL_CRUD829.pml,0,0,0,0,0,0
tal-tech--go-zero:fx++From58.pml,0,0,0,0,0,0
golang--go:race_test++TestRaceMapLookupPartKey168.pml,0,0,0,0,0,0
hashicorp--vault:kubernetes++TestRetryHandlerAdd74.pml,0,0,0,0,0,0
rclone--rclone:vfs++TestDirSetModTime212.pml,0,0,0,0,0,0
golang--go:time_test++TestLocationRace957.pml,0,0,0,0,0,0
mattermost--mattermost-server:storetest++testPostStoreGetForThread433.pml,0,0,0,0,0,0
moby--moby:splunk++TestServerAlwaysDown1227.pml,0,0,0,0,0,0
hashicorp--terraform:planfile++readTfplan33.pml,5,0,0,0,0,0
influxdata--telegraf:http_listener_v2++TestWriteHTTPFormData592.pml,0,0,0,0,0,0
mattermost--mattermost-server:config_test++TestDatabaseStoreString1088.pml,0,0,0,0,0,0
istio--istio:v1alpha3++zipkinConfigGen230.pml,0,0,0,0,0,0
prometheus--prometheus:storage++Select100.pml,1,0,0,0,0,0
kubernetes--minikube:cruntime++PullImage195.pml,0,0,0,0,0,0
kubernetes--kubernetes:auth++TestKindAuthorization1069.pml,1,0,0,0,0,0
gravitational--teleport:reversetunnel++GetSite79.pml,0,0,0,0,0,0
moby--moby:ioutils++TestBytesPipeRead11.pml,0,0,0,0,0,0
hashicorp--terraform:terraform++DynamicExpand42.pml,1,0,0,0,0,0
uber-go--zap:observer_test++TestObserverWith70.pml,1,0,0,0,0,0
valyala--fasthttp:fasthttp++TestResponseImmediateHeaderFlushFixedLength2267.pml,0,0,0,0,0,1
vitessio--vitess:throttler++TestMaxReplicationLagModule_RateNotZeroWhenDisabled99.pml,0,0,0,0,0,0
valyala--fasthttp:fasthttp++TestRequestCtxUserValue1577.pml,2,0,0,0,0,0
rclone--rclone:march++makeListDir79.pml,0,0,0,0,0,0
grafana--k6:core++TestEngineAtTime179.pml,0,0,0,0,0,0
google--grumpy:grumpy++TestPropertyGet35.pml,1,0,0,0,0,0
photoprism--photoprism:config++TestConfig_SidecarWritable56.pml,0,0,0,0,0,0
GoogleContainerTools--skaffold:helm++binVer80.pml,0,0,0,0,0,0
photoprism--photoprism:config++TestConfig_PIDFilename95.pml,0,0,0,0,0,0
valyala--fasthttp:fasthttp++TestFSCompressConcurrent480.pml,1,0,0,0,0,0
hashicorp--terraform:command++TestInit_getProviderInvalidPackage1086.pml,1,0,0,0,0,0
kubernetes--kubernetes:preflight++TestConfigCertAndKey376.pml,0,0,0,0,0,0
Netflix--chaosmonkey:config++TestDefaultCronForStartHourAfterClockEnd82.pml,0,0,0,0,0,0
influxdata--telegraf:docker++Gather208.pml,2,0,0,0,0,0
influxdata--telegraf:nginx++Gather52.pml,1,0,0,0,0,0
chrislusf--seaweedfs:filer++TestFilerConf10.pml,1,0,0,0,0,0
vitessio--vitess:command++commandReparentTablet215.pml,0,0,0,0,0,0
hashicorp--terraform:cos++New43.pml,0,0,0,0,0,0
golang--go:http_test++TestTransportTLSHandshakeTimeout3179.pml,0,0,0,0,0,0
