Project, Fun, Type, Info, Line Num, Filename, Link,
perkeep/perkeep,StatBlobs,Go in for,,127,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L127,
perkeep/perkeep,StatBlobs,For loop not well formed,Init : <nil> Cond : <nil> Post : <nil>,149,/tmp/clone-example393018868/pkg/blobserver/union/union.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/union/union.go#L149,
perkeep/perkeep,WaitForBlob,Integer as a chan bound,Name : &{9210970 INT 1},89,/tmp/clone-example393018868/pkg/blobserver/blobhub.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/blobhub.go#L89,
perkeep/perkeep,EnumerateAllFrom,Integer as a chan bound,Name : &{9207341 INT 1},37,/tmp/clone-example393018868/pkg/blobserver/enumerate.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/enumerate.go#L37,
perkeep/perkeep,EnumerateAllFrom,For loop not well formed,Init : <nil> Cond : <nil> Post : <nil>,38,/tmp/clone-example393018868/pkg/blobserver/enumerate.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/enumerate.go#L38,
perkeep/perkeep,EnumerateAllFrom,Chan in for,,39,/tmp/clone-example393018868/pkg/blobserver/enumerate.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/enumerate.go#L39,
perkeep/perkeep,EnumerateAllFrom,Go in for,,41,/tmp/clone-example393018868/pkg/blobserver/enumerate.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/blobserver/enumerate.go#L41,
perkeep/perkeep,Unmount,Integer as a chan bound,Name : &{5797639 INT 1},39,/tmp/clone-example393018868/pkg/fs/util.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/fs/util.go#L39,
perkeep/perkeep,projectHasInstance,Integer as a chan bound,Name : &{10020245 INT 1},182,/tmp/clone-example393018868/pkg/deploy/gce/deploy.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/deploy/gce/deploy.go#L182,
perkeep/perkeep,projectHasInstance,Integer as a chan bound,Name : &{10020276 INT 1},183,/tmp/clone-example393018868/pkg/deploy/gce/deploy.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/deploy/gce/deploy.go#L183,
