Project, Channel safety score, Global deadlock score, Link 
golang--tools:ssa++Build2239.pml,0,0,https://github.com/golang/tools/blob/e0d201561e39aeaab8136532f2bbe17ae1ef24ff/go/ssa/builder.go#L2239
mattes--migrate:migrate++Up262.pml,0,1,https://github.com/mattes/migrate/blob/4768a648fbd9e04389a73a21139d14a4ccb1a61a/migrate.go#L262
fsouza--go-dockerclient:testing++attachContainer797.pml,0,0,https://github.com/fsouza/go-dockerclient/blob/9a6b070659fabc4dea676aa8a3078b091b55367e/testing/server.go#L797
mattermost--mattermost-server:api4++ShutdownApp276.pml,0,0,https://github.com/mattermost/mattermost-server/blob/caeda90b246b2830ffc29901efce685a08d638fa/api4/apitestlib.go#L276
kubernetes--contrib:glog++timeoutFlush743.pml,0,0,https://github.com/kubernetes/contrib/blob/89f6948e24578fed2a90a87871b2263729f90ac3/service-loadbalancer/Godeps/_workspace/src/github.com/golang/glog/glog.go#L743
go-pg--pg:orm++SelectAndCount876.pml,0,0,https://github.com/go-pg/pg/blob/710deb4abf345e90e0fb61ead5ed58c9d10a0b96/orm/query.go#L876
FiloSottile--Heartbleed:tls++DialWithDialer93.pml,0,1,https://github.com/FiloSottile/Heartbleed/blob/4a3332ca1dc07aedf24b8540857792f72624cdf7/heartbleed/tls/tls.go#L93
joewalnes--websocketd:libwebsocketd++Terminate32.pml,0,1,https://github.com/joewalnes/websocketd/blob/2190c8ab4c6c615180183b3abc59c995e333fb66/libwebsocketd/process_endpoint.go#L32
google--keytransparency:client++BatchVerifyGetUserIndex29.pml,0,0.5833333333333334,https://github.com/google/keytransparency/blob/c1d8b03b87f098b18637b89ab17ff4c1c49fd1e2/core/client/batch_get_and_verify.go#L29
minio--minio:dsync++releaseAll364.pml,0,0,https://github.com/minio/minio/blob/3163a660aa79b75b725a0c6f152557e6253b900f/pkg/dsync/drwmutex.go#L364
kubernetes--kubernetes:podgc++gcTerminated127.pml,0,0,https://github.com/kubernetes/kubernetes/blob/d70ee902fddc682863a3cc4f0d8eac0223ebf70b/pkg/controller/podgc/gc_controller.go#L127
lxc--lxd:drivers++sendDataset243.pml,0,0,https://github.com/lxc/lxd/blob/6c8d1ba8351d36ae4f0844a7009611b160ef4174/lxd/storage/drivers/driver_zfs_utils.go#L243
pachyderm--pachyderm:fileset++NewIterator105.pml,0,0,https://github.com/pachyderm/pachyderm/blob/923f5743ea09a6e528ef65e28177648432f46b2d/src/server/pkg/storage/fileset/util.go#L105
influxdata--telegraf:mysql++Gather173.pml,0,0,https://github.com/influxdata/telegraf/blob/6ed1431348c200760443c2a0422b0d54bea927ec/plugins/inputs/mysql/mysql.go#L173
ginuerzh--gost:gost++transport105.pml,0,0,https://github.com/ginuerzh/gost/blob/1a56a878ac446d9cfc14a1c7fb11ef43d8dc61f4/server.go#L105
vitessio--vitess:wrangler++forAllTargets1112.pml,0,0,https://github.com/vitessio/vitess/blob/d09dffef0c60d5d4841cac86bdf4ed777098b60a/go/vt/wrangler/materializer.go#L1112
vitessio--vitess:topotools++GetAllTabletsAcrossCells87.pml,0,0,https://github.com/vitessio/vitess/blob/d09dffef0c60d5d4841cac86bdf4ed777098b60a/go/vt/topotools/utils.go#L87
mehrdadrad--mylg:scan++tcpConnScan353.pml,0,0,https://github.com/mehrdadrad/mylg/blob/faba8672ef9f2693ca9093d2a3a671114401e55a/scan/scan.go#L353
jpmorganchase--quorum:les++sendReceiveHandshake545.pml,0,0,https://github.com/jpmorganchase/quorum/blob/7b726385216c44e55fc6b6191a022fe598c102d4/les/peer.go#L545
docker--infrakit:inproc++Exec132.pml,0,0,https://github.com/docker/infrakit/blob/41da4a601bbb18514c61ebaed12a229098ddcd3e/pkg/launch/inproc/inproc.go#L132
elastic--beats:pipeline++Close199.pml,0,1,https://github.com/elastic/beats/blob/1327562b17cf06c430a2ad668ba22a3f836606a4/libbeat/publisher/pipeline/pipeline.go#L199
alexei-led--pumba:netem++Run120.pml,0,0,https://github.com/alexei-led/pumba/blob/76435f32f1b942b19e45084a7c7c351efd3efb6f/pkg/chaos/netem/loss.go#L120
vitessio--vitess:inst++MoveUpReplicas354.pml,0,0,https://github.com/vitessio/vitess/blob/d09dffef0c60d5d4841cac86bdf4ed777098b60a/go/vt/orchestrator/inst/instance_topology.go#L354
kubernetes--kubernetes:deployment++waitForDeploymentCompleteAndMarkPodsReady261.pml,0,0,https://github.com/kubernetes/kubernetes/blob/d70ee902fddc682863a3cc4f0d8eac0223ebf70b/test/integration/deployment/util.go#L261
uniqush--uniqush-push:main++Run217.pml,0,1,https://github.com/uniqush/uniqush-push/blob/0805cb3332828dd3781735bc5bde1f6553f79f2a/configparser.go#L217
tenta-browser--tenta-dns:responder++resolveParallelHarness251.pml,0,0,https://github.com/tenta-browser/tenta-dns/blob/8a8ab0bbeb86f54d3a26606118d06ca03e49dfdd/responder/recursive_dns_resolver.go#L251
mattermost--mattermost-server:app++AddUserToTeamByInviteId634.pml,0,0,https://github.com/mattermost/mattermost-server/blob/caeda90b246b2830ffc29901efce685a08d638fa/app/team.go#L634
