Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
btcwallet_SubscribeTransactions.pml,timeout,timeout,timeout,timeout,timeout,
build_InitLogRotator.pml,12,0,false,false,,
chainfee_NewBitcoindEstimator.pml,5,0,false,false,,
chainfee_NewBtcdEstimator.pml,5,0,false,false,,
chainview_NewBitcoindFilteredChainView.pml,timeout,timeout,timeout,timeout,timeout,
chainview_NewBtcdFilteredChainView.pml,timeout,timeout,timeout,timeout,timeout,
chainview_Start.pml,9,0,false,false,,
chainview_newBlockEventQueue.pml,timeout,timeout,timeout,timeout,timeout,
chanfitness_NewChannelEventStore.pml,timeout,timeout,timeout,timeout,timeout,
chanfunding_ProvisionChannel.pml,timeout,timeout,timeout,timeout,timeout,
contractcourt_GetChannelArbitrator.pml,5,0,false,false,,
contractcourt_ResolveContract.pml,13,0,false,false,,
contractcourt_SubscribeChannelEvents.pml,timeout,timeout,timeout,timeout,timeout,
contractcourt_UpdateContractSignals.pml,5,0,false,false,,
contractcourt_WatchNewChannel.pml,33,0,false,false,,
discovery_New.pml,timeout,timeout,timeout,timeout,timeout,
discovery_ResetSyncedSignal.pml,timeout,timeout,timeout,timeout,timeout,
discovery_createGossipSyncer.pml,4,0,false,false,,
discovery_gossipSyncer.pml,6,0,false,false,,
discovery_removeGossipSyncer.pml,23,0,false,false,,
discovery_rotateActiveSyncerCandidate.pml,14,0,false,false,,
discovery_spawnPeerHandler.pml,timeout,timeout,timeout,timeout,timeout,
discovery_transitionActiveSyncer.pml,8,0,false,false,,
discovery_transitionPassiveSyncer.pml,8,0,false,false,,
htlcswitch_New.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_createTestChannel.pml,32,0,false,false,,
htlcswitch_makePayment.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_newHopNetwork.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_newMemoryMailBox.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_newMockRegistry.pml,4,0,false,false,,
htlcswitch_newMockServer.pml,5,0,false,false,,
htlcswitch_newThreeHopNetwork.pml,134,0,false,false,,
htlcswitch_newTwoHopNetwork.pml,7,0,false,false,,
htlcswitch_preparePayment.pml,10,0,false,false,,
htlcswitch_stop.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_subscribeResult.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_timeout.pml,timeout,timeout,timeout,timeout,timeout,
htlcswitch_waitForPayFuncResult.pml,timeout,timeout,timeout,timeout,timeout,
lnd_AbandonChannel.pml,0,0,false,true,,
lnd_BroadcastMessage.pml,timeout,timeout,timeout,timeout,timeout,
lnd_DisconnectPeer.pml,5,0,false,false,,
lnd_EstimateFee.pml,134,0,false,false,,
lnd_InboundPeerConnected.pml,18,0,false,false,,
lnd_NotifyWhenOffline.pml,timeout,timeout,timeout,timeout,timeout,
lnd_OutboundPeerConnected.pml,19,0,false,false,,
lnd_PopulateDependencies.pml,126,0,false,false,,
lnd_SendCoins.pml,20,0,false,false,,
lnd_SendMany.pml,11,0,false,false,,
lnd_SubscribeChans.pml,timeout,timeout,timeout,timeout,timeout,
lnd_SubscribeUpdates.pml,timeout,timeout,timeout,timeout,timeout,
lnd_addPeer.pml,9,0,false,false,,
lnd_arbitratorPopulateForceCloseResp.pml,429,0,false,false,,
lnd_findPeerByPubStr.pml,5,0,false,false,,
lnd_getTLSConfig.pml,timeout,timeout,timeout,timeout,timeout,
lnd_handleFundingOpen.pml,timeout,timeout,timeout,timeout,timeout,
lnd_initNeutrinoBackend.pml,12,0,false,false,,
lnd_newChainControlFromConfig.pml,timeout,timeout,timeout,timeout,timeout,
lnd_newRPCServer.pml,timeout,timeout,timeout,timeout,timeout,
lnd_newServer.pml,timeout,timeout,timeout,timeout,timeout,
lnd_peerConnected.pml,9,0,false,false,,
lntest_CloseChannel.pml,timeout,timeout,timeout,timeout,timeout,
lntest_LookUpNodeByPub.pml,5,0,false,false,,
lntest_NewNetworkHarness.pml,timeout,timeout,timeout,timeout,timeout,
lntest_NewNodeWithSeed.pml,7,0,false,false,,
lntest_OpenChannel.pml,timeout,timeout,timeout,timeout,timeout,
lntest_OpenPendingChannel.pml,timeout,timeout,timeout,timeout,timeout,
lntest_RegisterNode.pml,4,0,false,false,,
lntest_RestoreNodeWithSeed.pml,6,0,false,false,,
lntest_WaitForChannelClose.pml,timeout,timeout,timeout,timeout,timeout,
lntest_WaitForChannelOpen.pml,timeout,timeout,timeout,timeout,timeout,
lntest_WaitForNetworkChannelClose.pml,timeout,timeout,timeout,timeout,timeout,
lntest_WaitForNetworkChannelOpen.pml,timeout,timeout,timeout,timeout,timeout,
lntest_newNode.pml,13,0,false,false,,
lntest_startFeeService.pml,13,0,false,false,,
lnwallet_Cancel.pml,timeout,timeout,timeout,timeout,timeout,
lnwallet_CompleteReservation.pml,timeout,timeout,timeout,timeout,timeout,
lnwallet_CompleteReservationSingle.pml,timeout,timeout,timeout,timeout,timeout,
lnwallet_CreateTestChannels.pml,46,0,false,false,,
lnwallet_ProcessContribution.pml,timeout,timeout,timeout,timeout,timeout,
lnwallet_ProcessPsbt.pml,timeout,timeout,timeout,timeout,timeout,
lnwallet_ProcessSingleContribution.pml,timeout,timeout,timeout,timeout,timeout,
mock_RegisterSpendNtfn.pml,timeout,timeout,timeout,timeout,timeout,
neutrinonotify_createNewNotifier.pml,11,0,false,false,,
neutrinonotify_startNotifier.pml,8,0,false,false,,
peer_NewBrontide.pml,timeout,timeout,timeout,timeout,timeout,
peer_Start.pml,timeout,timeout,timeout,timeout,timeout,
pool_NewRead.pml,4,0,false,false,,
pool_NewWrite.pml,4,0,false,false,,
routerrpc_New.pml,timeout,timeout,timeout,timeout,timeout,
routing_New.pml,timeout,timeout,timeout,timeout,timeout,
routing_SendToRoute.pml,15,0,false,false,,
routing_newControlTowerSubscriber.pml,4,0,false,false,,
sweep_RegisterBlockEpochNtfn.pml,timeout,timeout,timeout,timeout,timeout,
sweep_RegisterSpendNtfn.pml,0,0,false,true,,
sweep_getConfChannel.pml,timeout,timeout,timeout,timeout,timeout,
sweep_handleUpdateReq.pml,timeout,timeout,timeout,timeout,timeout,
walletunlocker_ChangePassword.pml,316,0,false,false,,
walletunlocker_UnlockWallet.pml,10,0,false,false,,
watchtower_New.pml,314,0,false,false,,
wtclient_ApplyAndWait.pml,timeout,timeout,timeout,timeout,timeout,
wtclient_New.pml,timeout,timeout,timeout,timeout,timeout,
wtclient_newSessionQueue.pml,timeout,timeout,timeout,timeout,timeout,
wtclient_newTaskPipeline.pml,timeout,timeout,timeout,timeout,timeout,
wtmock_NewMockConn.pml,timeout,timeout,timeout,timeout,timeout,
wtserver_New.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
meta_Fit.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
agent_forwardUnixSocket.pml,29,0,false,false,,
binres_iterElements.pml,0,0,false,true,,
borda_NewCollector.pml,timeout,timeout,timeout,timeout,timeout,
chained_ServeHTTP.pml,31,0,false,false,,
client_intercept.pml,timeout,timeout,timeout,timeout,timeout,
coff_freezeRSRC.pml,0,0,false,true,,
config_newConfig.pml,timeout,timeout,timeout,timeout,timeout,
config_pipeConfig.pml,timeout,timeout,timeout,timeout,timeout,
connpool_Close.pml,131,0,false,true,,
connpool_New.pml,timeout,timeout,timeout,timeout,timeout,
ctxhttp_Do.pml,timeout,timeout,timeout,timeout,timeout,
ctxhttp_canceler.pml,timeout,timeout,timeout,timeout,timeout,
dns_ActivateAndServe.pml,4,0,false,false,,
dns_Do.pml,22,0,false,false,,
dns_In.pml,timeout,timeout,timeout,timeout,timeout,
dns_ListenAndServe.pml,4,0,false,false,,
dns_ListenAndServeTLS.pml,8,0,false,false,,
dns_Shutdown.pml,timeout,timeout,timeout,timeout,timeout,
dns_parseKey.pml,timeout,timeout,timeout,timeout,timeout,
dns_parseZoneHelper.pml,0,0,false,true,,
eventual_Get.pml,timeout,timeout,timeout,timeout,timeout,
forward_serveHTTP.pml,timeout,timeout,timeout,timeout,timeout,
fronted_Configure.pml,timeout,timeout,timeout,timeout,timeout,
gl_NewContext.pml,timeout,timeout,timeout,timeout,timeout,
http2_CloseNotify.pml,timeout,timeout,timeout,timeout,timeout,
http2_Done.pml,timeout,timeout,timeout,timeout,timeout,
http2_NewClientConn.pml,timeout,timeout,timeout,timeout,timeout,
http2_ServeConn.pml,timeout,timeout,timeout,timeout,timeout,
http2_getStartDialLocked.pml,timeout,timeout,timeout,timeout,timeout,
http2_newStream.pml,timeout,timeout,timeout,timeout,timeout,
httpconnect_intercept.pml,timeout,timeout,timeout,timeout,timeout,
main_Main.pml,timeout,timeout,timeout,timeout,timeout,
meeklite_newMeekConn.pml,timeout,timeout,timeout,timeout,timeout,
netx_BidiCopy.pml,timeout,timeout,timeout,timeout,timeout,
pool_NewConnPool.pml,timeout,timeout,timeout,timeout,timeout,
profiling_saveProfilingOnSigINT.pml,timeout,timeout,timeout,timeout,timeout,
protected_connectSocket.pml,timeout,timeout,timeout,timeout,timeout,
proxied_do.pml,timeout,timeout,timeout,timeout,timeout,
singleflight_Do.pml,22,0,false,false,,
socks5_handleConnect.pml,timeout,timeout,timeout,timeout,timeout,
ssh_HandleChannelOpen.pml,timeout,timeout,timeout,timeout,timeout,
ssh_newChannel.pml,timeout,timeout,timeout,timeout,timeout,
ssh_newHandshakeTransport.pml,timeout,timeout,timeout,timeout,timeout,
ssh_newMux.pml,timeout,timeout,timeout,timeout,timeout,
ssh_start.pml,timeout,timeout,timeout,timeout,timeout,
systray_AddMenuItem.pml,timeout,timeout,timeout,timeout,timeout,
testpkg_GoroutineCallback.pml,timeout,timeout,timeout,timeout,timeout,
testutil_Start.pml,timeout,timeout,timeout,timeout,timeout,
tlsdialer_DialForTimings.pml,0,0,false,true,,
ui_Register.pml,timeout,timeout,timeout,timeout,timeout,
ui_newUIChannel.pml,timeout,timeout,timeout,timeout,timeout,
update_FromUrl.pml,timeout,timeout,timeout,timeout,timeout,
withtimeout_Do.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
commands_build.pml,timeout,timeout,timeout,timeout,timeout,
deps_StartErrorCollector.pml,timeout,timeout,timeout,timeout,timeout,
hugolib_Start.pml,4,0,false,false,,
hugolib_newHugoSites.pml,timeout,timeout,timeout,timeout,timeout,
hugolib_renderPages.pml,timeout,timeout,timeout,timeout,timeout,
hugolib_reset.pml,timeout,timeout,timeout,timeout,timeout,
lazy_withTimeout.pml,timeout,timeout,timeout,timeout,timeout,
livereload_Handler.pml,timeout,timeout,timeout,timeout,timeout,
para_Start.pml,timeout,timeout,timeout,timeout,timeout,
parse_lex.pml,timeout,timeout,timeout,timeout,timeout,
watcher_New.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
email_NewContext.pml,timeout,timeout,timeout,timeout,timeout,
gitutil_ParseDiff.pml,timeout,timeout,timeout,timeout,timeout,
ldap_dial.pml,11,0,false,false,,
process_ExecDir.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
alerting_Init.pml,timeout,timeout,timeout,timeout,timeout,
alerting_NewTicker.pml,4,0,false,false,,
alerting_Run.pml,4,0,false,false,,
avatar_Fetch.pml,4,0,false,false,,
avatar_GoFetch.pml,timeout,timeout,timeout,timeout,timeout,
backendplugin_stop.pml,timeout,timeout,timeout,timeout,timeout,
cloudwatch_executeLogActions.pml,timeout,timeout,timeout,timeout,timeout,
cloudwatch_executeTimeSeriesQuery.pml,timeout,timeout,timeout,timeout,timeout,
grpcplugin_Start.pml,13,0,false,false,,
notifications_Init.pml,timeout,timeout,timeout,timeout,timeout,
server_New.pml,6,0,false,false,,
sqleng_Query.pml,485,0,false,true,,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
api_New.pml,4,0,false,false,,
api_authLDAP.pml,13,0,false,false,,
backend_Get.pml,6,0,false,false,,
backend_OpenLevelDB.pml,5,0,false,false,,
backend_OpenLevelDBMemory.pml,4,0,false,false,,
backend_OpenLevelDBRO.pml,5,0,false,false,,
backend_open.pml,7,0,false,false,,
client_TestRelay.pml,timeout,timeout,timeout,timeout,timeout,
connections_NewService.pml,timeout,timeout,timeout,timeout,timeout,
dialer_dialTwicePreferFirst.pml,timeout,timeout,timeout,timeout,timeout,
discover_NewLocal.pml,timeout,timeout,timeout,timeout,timeout,
events_Subscribe.pml,timeout,timeout,timeout,timeout,timeout,
fs_Watch.pml,timeout,timeout,timeout,timeout,timeout,
ignore_New.pml,timeout,timeout,timeout,timeout,timeout,
model_NewFolderSummaryService.pml,timeout,timeout,timeout,timeout,timeout,
model_revert.pml,0,0,false,true,,
model_startWatch.pml,timeout,timeout,timeout,timeout,timeout,
model_takeWithContext.pml,timeout,timeout,timeout,timeout,timeout,
nat_NewService.pml,timeout,timeout,timeout,timeout,timeout,
rc_NewProcess.pml,4,0,false,false,,
scanner_newByteCounter.pml,timeout,timeout,timeout,timeout,timeout,
sync_NewRWMutex.pml,timeout,timeout,timeout,timeout,timeout,
syncthing_New.pml,7,0,false,false,,
syncthing_Start.pml,timeout,timeout,timeout,timeout,timeout,
upnp_Discover.pml,timeout,timeout,timeout,timeout,timeout,
ur_New.pml,timeout,timeout,timeout,timeout,timeout,
ur_NewFailureHandler.pml,timeout,timeout,timeout,timeout,timeout,
util_CallWithContext.pml,timeout,timeout,timeout,timeout,timeout,
util_asServiceWithError.pml,timeout,timeout,timeout,timeout,timeout,
watchaggregator_newAggregator.pml,4,0,false,false,,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
auth_enable.pml,timeout,timeout,timeout,timeout,timeout,
backend_newBackend.pml,timeout,timeout,timeout,timeout,timeout,
client_Do.pml,timeout,timeout,timeout,timeout,timeout,
client_requestCanceler.pml,timeout,timeout,timeout,timeout,timeout,
clientv3_NewLeaseFromLeaseClient.pml,timeout,timeout,timeout,timeout,timeout,
clientv3_checkVersion.pml,timeout,timeout,timeout,timeout,timeout,
clientv3_newWatcherGrpcStream.pml,timeout,timeout,timeout,timeout,timeout,
cmd_benchMakeWatches.pml,0,0,false,true,,
cmd_benchPutWatches.pml,0,0,false,true,,
cmd_leaseKeepaliveFunc.pml,0,0,false,true,,
cmd_putFunc.pml,0,0,false,true,,
cmd_rangeFunc.pml,0,0,false,true,,
cmd_stmFunc.pml,0,0,false,true,,
cmd_txnPutFunc.pml,0,0,false,true,,
command_campaign.pml,timeout,timeout,timeout,timeout,timeout,
command_defaultTransformer.pml,timeout,timeout,timeout,timeout,timeout,
command_defragData.pml,timeout,timeout,timeout,timeout,timeout,
command_lockUntilSignal.pml,timeout,timeout,timeout,timeout,timeout,
command_parseRequestUnion.pml,timeout,timeout,timeout,timeout,timeout,
command_prepareBackend.pml,timeout,timeout,timeout,timeout,timeout,
command_startTransformer.pml,timeout,timeout,timeout,timeout,timeout,
concurrency_NewSession.pml,timeout,timeout,timeout,timeout,timeout,
concurrency_runSTM.pml,timeout,timeout,timeout,timeout,timeout,
embed_StartEtcd.pml,timeout,timeout,timeout,timeout,timeout,
embed_stopServers.pml,timeout,timeout,timeout,timeout,timeout,
etcdmain_newGRPCProxyServer.pml,8,0,false,false,,
etcdmain_startGRPCProxy.pml,timeout,timeout,timeout,timeout,timeout,
etcdserver_newRaftNode.pml,timeout,timeout,timeout,timeout,timeout,
etcdserver_openBackend.pml,0,0,false,true,,
etcdserver_start.pml,timeout,timeout,timeout,timeout,timeout,
grpcproxy_NewClusterProxy.pml,timeout,timeout,timeout,timeout,timeout,
grpcproxy_NewKvProxy.pml,timeout,timeout,timeout,timeout,timeout,
grpcproxy_close.pml,timeout,timeout,timeout,timeout,timeout,
grpcproxy_gotLeader.pml,0,0,false,true,,
grpcproxy_newLeader.pml,8,0,false,false,,
grpcproxy_newWatchBroadcast.pml,0,0,false,true,,
grpcproxy_newWatchBroadcasts.pml,14,0,false,false,,
lease_Grant.pml,9,0,false,false,,
lease_Promote.pml,timeout,timeout,timeout,timeout,timeout,
lease_newLessor.pml,timeout,timeout,timeout,timeout,timeout,
leasing_Lock.pml,7,0,false,false,,
leasing_NewKV.pml,timeout,timeout,timeout,timeout,timeout,
leasing_init.pml,6,0,false,false,,
main_randomBlackhole.pml,25,0,false,false,,
mirror_SyncBase.pml,timeout,timeout,timeout,timeout,timeout,
mockserver_StartAt.pml,15,0,false,false,,
mockserver_StopAt.pml,8,0,false,false,,
mockserver_startMockServers.pml,306,0,false,false,,
mvcc_NewStore.pml,timeout,timeout,timeout,timeout,timeout,
mvcc_Restore.pml,timeout,timeout,timeout,timeout,timeout,
mvcc_compact.pml,timeout,timeout,timeout,timeout,timeout,
mvcc_newWatchableStore.pml,timeout,timeout,timeout,timeout,timeout,
mvcc_restoreIntoIndex.pml,0,0,false,true,,
mvcc_updateCompactRev.pml,timeout,timeout,timeout,timeout,timeout,
rafthttp_closeUnlocked.pml,timeout,timeout,timeout,timeout,timeout,
rafthttp_start.pml,timeout,timeout,timeout,timeout,timeout,
rafthttp_startRemote.pml,4,0,false,false,,
rafthttp_startStreamWriter.pml,timeout,timeout,timeout,timeout,timeout,
rafttest_startNode.pml,3,0,false,false,,
tcpproxy_Run.pml,timeout,timeout,timeout,timeout,timeout,
v2store_watch.pml,timeout,timeout,timeout,timeout,timeout,
v3rpc_Server.pml,timeout,timeout,timeout,timeout,timeout,
wal_newFilePipeline.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
caddyauth_cmdHashPassword.pml,timeout,timeout,timeout,timeout,timeout,
caddycmd_cmdStart.pml,timeout,timeout,timeout,timeout,timeout,
caddytls_start.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
azure_refresh.pml,0,0,false,true,,
discovery_NewManager.pml,timeout,timeout,timeout,timeout,timeout,
dns_refresh.pml,timeout,timeout,timeout,timeout,timeout,
index_EnsureOrder.pml,timeout,timeout,timeout,timeout,timeout,
logging_Dedupe.pml,timeout,timeout,timeout,timeout,timeout,
notifier_NewManager.pml,4,0,false,false,,
notifier_sendAll.pml,timeout,timeout,timeout,timeout,timeout,
promql_NewActiveQueryTracker.pml,4,0,false,false,,
remote_NewQueueManager.pml,6,0,false,false,,
remote_newShards.pml,3,0,false,false,,
rules_NewManager.pml,4,0,false,false,,
scrape_NewManager.pml,5,0,false,false,,
scrape_TargetsActive.pml,timeout,timeout,timeout,timeout,timeout,
scrape_newScrapeLoop.pml,3,0,false,false,,
scrape_reload.pml,timeout,timeout,timeout,timeout,timeout,
scrape_stop.pml,timeout,timeout,timeout,timeout,timeout,
scrape_sync.pml,timeout,timeout,timeout,timeout,timeout,
storage_Select.pml,timeout,timeout,timeout,timeout,timeout,
tsdb_OpenBlock.pml,11,0,false,false,,
tsdb_Read.pml,timeout,timeout,timeout,timeout,timeout,
tsdb_open.pml,timeout,timeout,timeout,timeout,timeout,
wal_Close.pml,9,0,false,true,,
wal_NewSize.pml,13,0,false,false,,
web_New.pml,4,0,false,false,,
web_Run.pml,timeout,timeout,timeout,timeout,timeout,
web_reload.pml,2,0,false,true,,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
accesslog_NewHandler.pml,timeout,timeout,timeout,timeout,timeout,
acme_NewLocalStore.pml,timeout,timeout,timeout,timeout,timeout,
acme_watchCertificate.pml,timeout,timeout,timeout,timeout,timeout,
cmd_ContextWithSignal.pml,timeout,timeout,timeout,timeout,timeout,
server_NewConfigurationWatcher.pml,timeout,timeout,timeout,timeout,timeout,
server_NewServer.pml,timeout,timeout,timeout,timeout,timeout,
server_Shutdown.pml,timeout,timeout,timeout,timeout,timeout,
server_Stop.pml,timeout,timeout,timeout,timeout,timeout,
server_preLoadConfiguration.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
fzf_NewTerminal.pml,timeout,timeout,timeout,timeout,timeout,
fzf_scan.pml,0,0,false,true,,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
main_main.pml,4,0,false,false,,
queue_Cancelled.pml,timeout,timeout,timeout,timeout,timeout,
queue_newQueue.pml,timeout,timeout,timeout,timeout,timeout,
Model, #states, Time (ms), Channel Safety Error, Global Deadlock, Error,
binloginfo_GetPumpsClient.pml,4,0,false,false,,
binloginfo_MockPumpsClient.pml,4,0,false,false,,
binloginfo_SetPumpsClient.pml,4,0,false,false,,
chunk_ActionSpill.pml,8,0,false,false,,
chunk_ActionSpillForTest.pml,4,0,false,false,,
core_MockContext.pml,4,0,false,false,,
core_decodeKeyFromString.pml,timeout,timeout,timeout,timeout,timeout,
domain_GetDomain.pml,5,0,false,false,,
domain_NewDomain.pml,timeout,timeout,timeout,timeout,timeout,
domain_ShowSlowQuery.pml,4,0,false,false,,
domain_fetchAllSchemasWithTables.pml,0,0,false,true,,
domain_newTopNSlowQueries.pml,timeout,timeout,timeout,timeout,timeout,
gcworker_NewGCWorker.pml,timeout,timeout,timeout,timeout,timeout,
gcworker_NewMockGCWorker.pml,timeout,timeout,timeout,timeout,timeout,
gcworker_doUnsafeDestroyRangeRequest.pml,timeout,timeout,timeout,timeout,timeout,
gcworker_physicalScanAndResolveLocks.pml,timeout,timeout,timeout,timeout,timeout,
handle_NewHandle.pml,timeout,timeout,timeout,timeout,timeout,
latch_Lock.pml,6,0,false,true,,
latch_NewScheduler.pml,timeout,timeout,timeout,timeout,timeout,
latch_acquireSlot.pml,10,0,false,false,,
main_createStoreAndDomain.pml,4,0,false,false,,
main_setupBinlogClient.pml,9,0,false,false,,
mocktikv_NewMVCCLevelDB.pml,5,0,false,false,,
oracles_NewPdOracle.pml,timeout,timeout,timeout,timeout,timeout,
